"";"sp_nome";"valor_por_ano";"liq_pdm";"liq_obras";"liq_oc";"idrgp_2022";"diferenca"
"1";"ARICANDUVA-FORMOSA-CARRAO";19625000;11937145,7596045;36530170,0147619;0;48467315,7743664;28842315,7743664
"2";"BUTANTA";31250000;56411488,3983742;34245520,93;0;90657009,3283742;59407009,3283742
"3";"CAMPO LIMPO";77000000;55072425,5764092;107584490,07;0;162656915,646409;85656915,6464092
"4";"CAPELA DO SOCORRO";88375000;165156081,184316;18718965,95;0;183875047,134316;95500047,1343161
"5";"CASA VERDE-CACHOEIRINHA";33750000;17402834,6556725;9315617,22818182;0;26718451,8838543;-7031548,11614572
"6";"CIDADE ADEMAR";60375000;39304239,984354;7482004,88;0;46786244,864354;-13588755,135646
"7";"CIDADE TIRADENTES";34750000;9433851,63422917;13580405,34;0;23014256,9742292;-11735743,0257708
"8";"ERMELINO MATARAZZO";26250000;15489013,0431037;10121652,92;0;25610665,9631037;-639334,036896303
"9";"FREGUESIA-BRASILANDIA";57000000;9103326,15467951;36188167,78;0;45291493,9346795;-11708506,0653205
"10";"GUAIANASES";43250000;114566610,466277;25914650,15;0;140481260,616277;97231260,6162773
"11";"IPIRANGA";36375000;38193460,4144967;51037642,66;1027929,46;90259032,5344967;53884032,5344967
"12";"ITAIM PAULISTA";50750000;13960336,3683024;187467316,44;0;201427652,808302;150677652,808302
"13";"ITAQUERA";60875000;30407953,3446141;217476579,49;0;247884532,834614;187009532,834614
"14";"JABAQUARA";18750000;4137497,52335636;25355747,61;0;29493245,1333564;10743245,1333564
"15";"JACANA-TREMEMBE";45500000;3723120,79008254;111167875,72;0;114890996,510083;69390996,5100825
"16";"LAPA";14125000;25122695,7946;28115279,31;202762,7;53440737,8046;39315737,8046
"17";"M'BOI MIRIM";88125000;45454622,1402091;30271980,28;0;75726602,4202091;-12398397,5797909
"18";"MOOCA";18750000;28264525,8318378;23616717,8081818;0;51881243,6400196;33131243,6400196
"19";"PARELHEIROS";46750000;1557147,34427111;4412330,34;0;5969477,68427111;-40780522,3157289
"20";"PENHA";43250000;60225113,9197612;18086686,54;0;78311800,4597612;35061800,4597612
"21";"PERUS";32250000;11285925,4463325;0;0;11285925,4463325;-20964074,5536675
"22";"PINHEIROS";8500000;1750654,47320397;15695944,03;0;17446598,503204;8946598,50320397
"23";"PIRITUBA-JARAGUA";47125000;23844721,9448483;20575489,41;0;44420211,3548483;-2704788,6451517
"24";"SANTANA-TUCURUVI";18250000;396078,680265477;0;0;396078,680265477;-17853921,3197345
"25";"SANTO AMARO";11750000;2739860,90578122;5451988,83;0;8191849,73578122;-3558150,26421878
"26";"SAO MATEUS";44125000;233127954,17792;39442559,97;0;272570514,14792;228445514,14792
"27";"SAO MIGUEL";63875000;7124042,28999872;29329928,18;386357,03;36840327,4999987;-27034672,5000013
"28";"SAPOPEMBA";52375000;1203791,69691503;27234980,44;0;28438772,136915;-23936227,863085
"29";"SE";22375000;145350038,22117;27404066,2138961;0;172754104,435066;150379104,435066
"30";"VILA MARIA-VILA GUILHERME";20875000;11536268,2586077;44406321,76;259900,46;56202490,4786077;35327490,4786077
"31";"VILA MARIANA";10750000;1738632,96018871;4291823,73;320275,05;6350731,74018871;-4399268,25981129
"32";"VILA PRUDENTE";22875000;302638,919182639;21027064,8;0;21329703,7191826;-1545296,28081736
